time_idx,group_id,electricity_demand,hour,day_of_week,solar_generation,wind_generation,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24,rolling_mean_168,rolling_std_168
108,single,154312.748,17.0,6.0,696.618,1206.158,153974.188,159530.326,174331.83,148274.00758333332,13223.592984776773,180074.88567857142,22047.513331513503
109,single,153816.47,18.0,6.0,681.09,1023.162,154312.748,158251.868,172836.744,148056.6085,13072.516553025576,179955.7244761905,22132.67350833117
110,single,153683.438,19.0,6.0,611.232,795.373,153816.47,156656.918,171442.854,147871.80025,12952.922849192975,179842.5085595238,22217.791309243185
111,single,155367.462,20.0,6.0,437.306,625.164,153683.438,156184.668,172455.258,147747.90524999998,12879.250717311708,179736.79775,22300.09227364404
112,single,159679.284,21.0,6.0,131.237,699.59,155367.462,159174.474,178713.592,147713.855,12857.036867367846,179635.08467857144,22372.35555249451
113,single,170318.214,22.0,6.0,-1.957,915.158,159679.284,166749.36,190623.396,147734.88874999998,12876.998732906319,179521.78522619046,22425.18515478688
114,single,174265.946,23.0,6.0,-3.144,997.883,170318.214,167472.856,194798.742,147883.591,13124.353370833538,179400.92104761905,22419.711303437052
115,single,173102.182,0.0,0.0,-2.987,1185.886,174265.946,164704.846,194080.222,148166.63641666665,13628.750909899545,179278.7020238095,22391.217075392233
116,single,170388.31,1.0,0.0,-3.174,1285.83,173102.182,161112.664,192609.19,148516.52541666667,14168.882781268541,179153.83273809523,22366.65978059443
117,single,164957.048,2.0,0.0,-3.085,1370.631,170388.31,156117.496,186651.192,148903.01066666667,14645.883612930325,179021.56559523812,22352.311847671917
118,single,157817.146,3.0,0.0,-3.057,1375.214,164957.048,149774.12,178086.232,149271.32533333334,14943.329813298466,178892.4337857143,22370.627951574992
119,single,150437.926,4.0,0.0,-2.948,1856.87,157817.146,142513.49,170398.76,149606.45141666668,15044.93885215341,178771.7844642857,22429.5819555123
120,single,145374.394,5.0,0.0,-3.194,2458.677,150437.926,135529.276,164990.156,149936.63625,14969.271389198977,178652.96997619048,22526.858867022216
121,single,143083.216,6.0,0.0,-3.259,2885.331,145374.394,131523.976,161757.052,150346.84949999998,14689.573947358904,178536.20948809525,22648.606472124644
122,single,142206.67,7.0,0.0,-3.193,3049.741,143083.216,129138.616,160195.342,150828.4845,14227.827714104014,178425.05570238098,22776.907441011834
123,single,143469.474,8.0,0.0,-3.077,3204.582,142206.67,127705.572,161195.578,151372.98675,13597.769284047383,178317.98027380952,22905.041865374857
