time_idx,group_id,target,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_mean_168,total_renewable_mw,net_load,high_demand_flag,peak_hour_flag,wind_generation_mw,solar_generation_mw
53,0,174163.23,10,4,1,0,0.5,-0.866025,0.0,1.0,165603.806,198202.99,155596.736,194710.856,182302.446,4410.427,169752.803,0,0,4410.427,0.0
54,0,188431.036,11,4,1,0,0.258819,-0.965926,0.0,1.0,174163.23,215258.94,168397.85,193709.199,182412.961,4104.119,184326.917,0,0,4104.119,0.0
55,0,197501.786,12,4,1,0,0.0,-1.0,0.0,1.0,188431.036,224622.86,177478.63,192591.37,182532.206,3531.072,193970.714,0,0,3511.262,19.81
56,0,196529.374,13,4,1,0,-0.258819,-0.965926,0.0,1.0,197501.786,221774.338,180287.808,191461.325,182651.392,3386.176,193143.198,0,0,3132.875,253.301
57,0,193457.634,14,4,1,0,-0.5,-0.866025,0.0,1.0,196529.374,214053.256,181034.816,190409.452,182748.068,3468.308,189989.326,0,0,2901.388,566.92
58,0,190855.674,15,4,1,0,-0.707107,-0.707107,0.0,1.0,193457.634,206969.288,181590.434,189551.301,182822.013,3565.23,187290.444,0,0,2814.039,751.191
59,0,186722.282,16,4,1,0,-0.866025,-0.5,0.0,1.0,190855.674,200563.17,181141.996,188879.9,182877.163,3498.397,183223.885,0,0,2650.36,848.037
60,0,183222.41,17,4,1,0,-0.965926,-0.258819,0.0,1.0,186722.282,195705.896,180328.102,188303.197,182910.379,3288.723,179933.687,0,1,2444.202,844.521
61,0,180305.486,18,4,1,0,-1.0,-0.0,0.0,1.0,183222.41,192716.894,179723.948,187783.051,182927.607,3222.881,177082.605,0,1,2486.016,736.865
62,0,178131.122,19,4,1,0,-0.965926,0.258819,0.0,1.0,180305.486,190635.712,178473.278,187265.909,182931.069,3128.028,175003.094,0,1,2492.849,635.179
63,0,177012.632,20,4,1,0,-0.866025,0.5,0.0,1.0,178131.122,191641.418,177803.866,186744.885,182929.032,3137.585,173875.047,0,1,2731.417,406.168
64,0,179882.59,21,4,1,0,-0.707107,0.707107,0.0,1.0,177012.632,197142.554,180803.1,186135.352,182924.322,3291.509,176591.081,0,1,3200.337,91.172
65,0,186436.144,22,4,1,0,-0.5,0.866025,0.0,1.0,179882.59,207531.234,186792.35,185416.187,182918.843,3722.086,182714.058,0,0,3722.086,0.0
66,0,185972.454,23,4,1,0,-0.258819,0.965926,0.0,1.0,186436.144,210787.818,185481.954,184537.225,182916.723,4016.46,181955.994,0,0,4016.46,0.0
67,0,182424.454,0,5,1,1,0.0,1.0,0.0,1.0,185972.454,208951.306,181682.61,183503.251,182919.643,4606.711,177817.743,0,0,4606.711,0.0
68,0,178272.626,1,5,1,1,0.258819,0.965926,0.0,1.0,182424.454,205229.778,177322.558,182397.966,182924.058,5758.042,172514.584,0,0,5758.042,0.0
69,0,172300.124,2,5,1,1,0.5,0.866025,0.0,1.0,178272.626,198033.1,171670.368,181274.751,182929.713,6488.462,165811.662,0,0,6488.462,0.0
70,0,163970.298,3,5,1,1,0.707107,0.707107,0.0,1.0,172300.124,187389.344,163739.53,180202.544,182933.462,6267.062,157703.236,0,0,6267.062,0.0
71,0,154619.692,4,5,1,1,0.866025,0.5,0.0,1.0,163970.298,177491.548,154676.196,179226.75,182934.836,6087.292,148532.4,0,0,6087.292,0.0
72,0,147128.64,5,5,1,1,0.965926,0.258819,0.0,1.0,154619.692,170424.192,147014.646,178273.756,182934.499,6251.834,140876.806,0,0,6251.834,0.0
73,0,141772.258,6,5,1,1,1.0,0.0,0.0,1.0,147128.64,166000.908,142087.986,177303.108,182935.178,7029.027,134743.231,0,0,7029.027,0.0
74,0,139309.154,7,5,1,1,0.965926,-0.258819,0.0,1.0,141772.258,163543.39,139400.306,176293.581,182933.299,7859.631,131449.523,0,0,7859.631,0.0
75,0,137433.084,8,5,1,1,0.866025,-0.5,0.0,1.0,139309.154,162786.804,137770.04,175283.821,182932.756,6883.213,130549.871,0,0,6883.213,0.0
76,0,137606.83,9,5,1,1,0.707107,-0.707107,0.0,1.0,137433.084,165603.806,138401.7,174227.416,182930.75,6657.405,130949.425,0,0,6657.405,0.0
77,0,140426.246,10,5,1,1,0.5,-0.866025,0.0,1.0,137606.83,174163.23,141309.864,173060.876,182926.019,6858.346,133567.9,0,0,6858.346,0.0
78,0,145502.734,11,5,1,1,0.258819,-0.965926,0.0,1.0,140426.246,188431.036,146545.174,171655.168,182920.759,6422.933,139079.801,0,0,6422.933,0.0
79,0,151478.806,12,5,1,1,0.0,-1.0,0.0,1.0,145502.734,197501.786,152880.426,169866.489,182914.554,6703.838,144774.968,0,0,6687.626,16.212
80,0,155996.994,13,5,1,1,-0.258819,-0.965926,0.0,1.0,151478.806,196529.374,158638.158,167948.864,182906.211,7447.511,148549.483,0,0,7255.094,192.417
