timestamp,target,group_id,solar,wind,hour,day_of_week,day_of_month,month,week_of_year,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24,rolling_mean_168,rolling_std_168
2022-09-05 00:00:00,205460.822,single,0.0,2296.843,0,0,5,9,36,0,0.0,1.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,209513.428,207633.466,239965.108,182674.55241666667,27979.348200982175,201350.61894047618,35522.45500142961
2022-09-05 01:00:00,197017.996,single,0.0,2644.904,1,0,5,9,36,0,0.25881904510252074,0.9659258262890683,0.0,1.0,-0.8660254037844385,-0.5000000000000004,205460.822,198424.028,228824.76,182584.02558333334,27898.480809483903,201145.2362857143,35397.38577409336
2022-09-05 02:00:00,186858.574,single,0.0,2566.086,2,0,5,9,36,0,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.8660254037844385,-0.5000000000000004,197017.996,187879.138,213934.8,182525.44091666667,27865.228275527883,200955.91030952384,35333.455826935664
2022-09-05 03:00:00,175991.898,single,0.0,2142.15,3,0,5,9,36,0,0.7071067811865476,0.7071067811865476,0.0,1.0,-0.8660254037844385,-0.5000000000000004,186858.574,176595.194,199884.778,182482.91741666666,27857.48072928093,200794.74229761906,35335.652070004435
2022-09-05 04:00:00,166268.806,single,0.0,1869.596,4,0,5,9,36,0,0.8660254037844386,0.5000000000000001,0.0,1.0,-0.8660254037844385,-0.5000000000000004,175991.898,165759.514,187628.032,182457.7800833333,27863.296123703727,200652.5227738095,35387.38080846256
2022-09-05 05:00:00,157891.668,single,0.0,1560.898,5,0,5,9,36,0,0.9659258262890683,0.25881904510252074,0.0,1.0,-0.8660254037844385,-0.5000000000000004,166268.806,157444.122,178217.372,182479.00058333334,27850.216777257825,200525.38452380954,35472.721185375915
2022-09-05 06:00:00,152352.752,single,0.0,1204.714,6,0,5,9,36,0,1.0,6.123233995736766e-17,0.0,1.0,-0.8660254037844385,-0.5000000000000004,157891.668,151280.716,171921.556,182497.64833333332,27832.86971923438,200404.39819047617,35583.75096730285
2022-09-05 07:00:00,149045.442,single,0.0,1036.092,7,0,5,9,36,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.8660254037844385,-0.5000000000000004,152352.752,147243.208,168577.58,182542.3165,27781.40500355204,200287.91721428573,35709.35280660998
2022-09-05 08:00:00,147704.2,single,0.0,969.053,8,0,5,9,36,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,-0.8660254037844385,-0.5000000000000004,149045.442,145287.58,169487.048,182617.40958333333,27684.108513579566,200171.65448809523,35844.75345769832
2022-09-05 09:00:00,149029.85,single,0.0,855.01,9,0,5,9,36,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,-0.8660254037844385,-0.5000000000000004,147704.2,145043.656,175822.79,182718.10208333333,27546.48211390405,200041.9946785714,35995.492471402526
2022-09-05 10:00:00,151863.78,single,4.495,862.316,10,0,5,9,36,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,-0.8660254037844385,-0.5000000000000004,149029.85,146309.068,188459.506,182884.19349999996,27320.53848832992,199882.51289285714,36162.40818784887
